HUC_12,pred,pred_proba,LAT,LONG
101102050406.0,1,0.08589267602874501,47.7828866,-103.1867351
101102050602.0,0,0.026456778547880755,47.4311604,-102.2849772
101201060405.0,0,0.03694316889117645,43.5394802,-103.7921395
101201070502.0,1,0.06796474437185263,43.6616905,-103.8507641
101201090101.0,1,0.19119969688067284,43.5909915,-103.6261256
101201090103.0,1,0.06274960292135519,43.4804833,-103.6315774
101201090104.0,1,0.0716230296774996,43.4478246,-103.5825945
101201090201.0,1,0.0797424801443206,43.6617037,-103.5833149
101201090204.0,0,0.03555854653575596,43.5094861,-103.3751204
101201090403.0,1,0.07110399080243204,43.5893876,-103.35345
101201090703.0,1,0.18129568595871318,43.5560283,-102.8433169
101201090805.0,1,0.11091766007743847,43.8050664,-103.3326631
101201100202.0,1,0.06642099760156513,44.0654318,-103.3097022
101201100204.0,0,0.035981661883976036,44.0528075,-103.1487077
101202010505.0,0,0.019785737786280216,44.1807582,-104.7344198
101202020701.0,1,0.13439516515136452,44.3249289,-103.6475754
101301010203.0,1,0.10079926431937909,47.7293343,-100.9750023
101301020307.0,0,0.03543468470614818,46.3600199,-100.5721585
101301020902.0,0,0.04172884796727229,45.9688265,-99.7778924
101301021101.0,1,0.10000800400723528,45.8182052,-100.1633282
101301030706.0,0,0.056573949097099126,46.6069899,-99.4906985
101301030802.0,0,0.058691267169779245,46.8197675,-99.6555874
101301031002.0,1,0.10267026610190544,46.4793662,-100.09967
101301031406.0,1,0.0666192222032425,46.8136535,-100.4100857
101301060302.0,1,0.07620576299006464,46.0269183,-99.2971004
101302010401.0,0,0.03421314812817746,47.2272587,-102.4350796
101302010802.0,0,0.030235402931351917,47.3793749,-102.8312389
101302010905.0,0,0.03526199086592091,47.411906,-102.1738046
101302020209.0,1,0.11574335612409388,47.0292442,-102.7877049
101302030201.0,0,0.045402758120764775,46.4849355,-102.0056806
101302030305.0,0,0.04302239880347909,46.7956089,-101.7221472
101302030607.0,0,0.026456285095874808,46.8220732,-100.9446633
101302040201.0,1,0.10750826942285757,46.5660076,-102.9596745
101302051003.0,0,0.031649316986468536,46.0418473,-101.4573241
101302060105.0,0,0.0373447007384696,46.187918,-101.1329629
101303010201.0,0,0.02421700837509697,46.1993055,-103.5628197
101402011204.0,0,0.04424822925344536,43.1097153,-102.6297839
101402011605.0,0,0.04354427036395471,43.1519979,-102.3520835
101402011606.0,1,0.06479494163543868,43.1557278,-102.4969047
101402011702.0,0,0.03928031816476027,43.2208708,-102.3186671
101402011703.0,0,0.04330246118891282,43.3054097,-102.3612467
101402011804.0,1,0.1643808845385792,43.4574537,-102.6064655
101402011805.0,1,0.3387325251789624,43.4906995,-102.5517501
101402012003.0,1,0.07319723342899494,43.3489886,-102.1327612
101402012302.0,1,0.16596755772587551,43.7007315,-102.3405069
101402020301.0,0,0.03993495432466303,43.247486,-101.9281995
101402021301.0,1,0.07245101964522976,43.6463872,-101.056495
101402021304.0,0,0.04237141847775334,43.6671328,-100.8081029
101402030103.0,0,0.0542055748734403,43.1146761,-102.1118576
101402030306.0,1,0.1668631889327108,43.1595084,-101.1608408
101402030401.0,1,0.1015607775337718,43.1231195,-101.0446029
101402030505.0,0,0.03562988849290464,43.3978286,-101.046684
101402040402.0,1,0.07190094050674171,43.3008376,-100.2561722
101402040501.0,0,0.03607464697044131,43.4239954,-100.4797953
101500020101.0,0,0.05015719651403778,42.773472,-104.6241742
101500020503.0,1,0.2012578476204853,42.2675774,-103.7437302
101500030807.0,1,0.2938467412856144,42.4766106,-102.457666
