HUC_12,PAGC,PFOR,NATMedium,RNS45,rBUFF45,WaterbodyArea,Ag_N_Leachate,WELL_DEPTH,TRANS,Pred_Viol_Prob_SW,Pred_Viol_Prob_GW,AWD_MGAL,pred_pOx_1,LONG,RO_0013,ET_0013,StrL,TD_N_T,AWD_REDN_T,TD_S_T,FP_PFOR,FP_PWETL,FP_M2WATER,FP_PSHRUB
120500010107.0,6.6645069,0.0,77.88999990599056,0.062832357871844,0.9975273,0.053325298977555,4.1410087587,115.3043019563249,454.8409617128451,0.649111721585492,0.810478022922292,1.538932,0.7556165048543689,-103.6264509,0.2672264802842642,0.8469987349013713,10151.6527107,4.949392823825605,2.2381123554302,1.73677051813056,0.0,0.0,9000.0,92.0854263
120500010703.0,42.165802,0.0,48.87000008845799,13.319952017972549,0.0,0.830858717222635,16.8193130929,172.41397585814028,511.497160595316,0.6982,0.9247,0.172518,0.8348045977011495,-103.0025297,0.2821300016598355,0.8579430529450808,0.0,5.296772649319754,2.172670589484779,2.221340713942091,0.0,0.7042254,11700.0,70.8656464
120500010904.0,82.979126,0.0,0.0,0.064315806795971,0.4840662,0.132640738183989,37.5876537334,220.6329289333076,425.34485767020544,0.7293,0.9515,13.016013,0.8729556962025316,-102.7401823,0.2978918995717422,0.8556123545537435,8132.98622218,5.375665759668628,1.921630215323118,2.088242082878905,0.0,0.8800066,36900.0,28.0368443
120500011105.0,59.0603638,0.0,0.0,0.13579704486941,0.1598225,0.918118211946258,41.0538853242,202.87156714767704,512.9736982461328,0.7077,0.982,4.553145,0.857702868852459,-102.2872992,0.2790520819291707,0.8477100779115498,0.0,5.396659027485565,1.761108856661501,2.076943493140356,0.0,3.2124166,248400.0,40.1010666
120500011107.0,62.9333954,0.0180658,0.0,0.099415676228668,0.5449554,1.785677135622743,42.1897687183,191.1388265731487,534.7377727989714,0.70409059899638,0.989653057158696,8.75356,0.8520119680851064,-102.1606563,0.2802943048624294,0.860541012231705,5208.45646571,5.344269048788618,1.724566798775185,2.119917347852209,0.1649333,6.2857928,170100.0,18.8253078
120500011301.0,72.3826904,0.0033655,16.959999921394655,0.149745960705886,0.3936993,0.331964069069613,32.5725299216,140.56341516403924,504.490980755357,0.719,0.9943,5.539836,0.8594619047619048,-102.2472856,0.294148046328048,0.8481699236607674,3815.50699988,4.643785289319014,1.850497317890741,1.815411444588954,0.0428266,2.5053532,32400.0,21.0278378
120500011305.0,62.7431335,0.0185598,28.05000000021796,0.303961476101587,1.5331564,0.684498991694888,18.5801256459,161.31641467285155,488.070426042355,0.757771680485081,0.979393300819576,3.876159,0.8346388888888889,-101.9297251,0.3048321506630853,0.7672921120897542,23177.8302592,5.198676994586409,1.648252603125754,2.070202464327366,0.1609995,1.2171561,176400.0,0.4314786
120500020105.0,59.5700722,0.0,0.0,-2.94083000606539,0.0,0.103990447077984,12.2009879924,363.90347971499546,494.1215192253876,0.7222,0.8892,5.66897,0.8495412621359224,-103.3678117,0.2918343311708823,0.8100601389161046,0.0,5.666475413332134,2.169351205655477,1.915963041075259,0.0,0.4634227,15300.0,12.3469048
120500020110.0,40.886322,0.0,67.08999998366066,-0.1192358652038189,0.0,0.030985119562765,28.1497150079,238.9599374332784,486.5472427341192,0.728792321971523,0.88911158454068,20.890822,0.6459642857142857,-103.1063712,0.2652873695871716,0.8545158222505488,15275.0620142,6.320493373859924,2.577988569630532,2.313808116952795,0.0,0.1074402,0.0,59.0182648
120500020503.0,68.3545761,0.0198955,16.460000008144636,0.085476217783026,2.2930045,1.090843554917531,56.2215678582,248.47589045462848,538.1841345949306,0.716279935651935,0.974034591939227,9.05148,0.8751384892086331,-102.2411842,0.27066140544348,0.861726014533519,29449.6627831,6.455282521478686,1.806926951660914,2.264289869654979,0.0,0.632223,27000.0,43.0523453
120500020504.0,58.8325424,0.0014454,51.009999829613776,0.047955123838518,1.8893932,0.815489578144135,56.9778493115,265.8196907043457,435.4823408467087,0.705861595939417,0.970938814501778,6.817822,0.8893229166666666,-102.0831999,0.2725777484660668,0.8616733587234485,19972.0397993,5.784134194495623,1.732995228474728,2.207417822206326,0.004397,2.9327705,315900.0,0.5760014
120500030303.0,80.5288239,0.1205941,19.110000091743505,0.007642543467338,0.6734356,0.955477979364329,4.58769818673,273.14803370533366,350.3371676411381,0.706501217789782,0.944478015995679,10.37389,0.8595016778523491,-101.7186876,0.2720468198689869,0.8544507360506413,11562.8231984,5.100917095613799,1.553989549690786,2.022919172569483,0.3049445,1.0063167,350100.0,0.9671096
120500030304.0,78.1490784,0.0021582,7.86999999124869,-3.4929897026107306,0.0,1.762654459668934,3.63547713072,301.38299956688513,498.5944388621007,0.427313837685068,0.4999947754967408,15.02882,0.8730588942307692,-101.6858339,0.3044526612812366,0.8627196636001513,0.0,5.226929144643804,1.592481776075155,2.043379454692424,0.0120398,0.8307448,553500.0,0.0361193
120500040203.0,64.3824615,0.0,0.0,-1.5557224507467755,0.0,0.283517387306277,17.1960473603,228.3773431777954,487.1111897822454,0.4296070198075002,0.4924709610957872,3.171712,0.8931510416666667,-102.3766656,0.311114385368739,0.7941868327935065,0.0,4.970997853320508,1.69111904472572,1.800637935792412,0.0,1.256175,44100.0,31.2773457
120500060301.0,57.7543793,0.0041474,24.079999998680112,-4.85772675918194,0.0,4.644153142418713,5.47796507654,347.05810821888053,501.46992937161536,0.4162218750289971,0.4955844115287833,5.604846,0.8564781976744186,-101.6634686,0.3040779975346231,0.8587442908144415,0.0,5.640003045104962,1.856917053009783,2.108182266286567,0.0199945,1.8894804,954000.0,0.159956
120500060303.0,86.3371429,0.0256471,0.0,0.087174058345865,1.5463027,5.895374026602251,7.60743007807,377.5955937565984,449.29295595135903,0.663219375547889,0.756063055623662,10.582167,0.8538594594594594,-101.4271924,0.2955762982063685,0.8596251132420214,28545.0806104,5.508648232091439,1.837891818964429,2.178731105295586,0.2595958,16.4781513,1478700.0,1.2299895
120500060304.0,84.2549973,0.0046067,12.94999997743302,0.0,0.1049417,1.665089612102783,5.1400300708,384.70694860750734,404.7027854961893,0.4217017830978403,0.4958697901534943,10.723755,0.904286496350365,-101.5646978,0.3199106917572396,0.8590855834474028,0.0,5.432766710282821,1.796207395482648,2.115503667885685,0.0252134,3.3281705,632700.0,0.043223
120500070101.0,81.7249222,0.0091371,21.020000002011447,-0.2167854256891094,0.0,1.688357987373603,1.41791188521,330.9649129796911,445.4325586125199,0.4284416149587498,0.501276574779342,7.220465,0.8927986111111111,-101.4949325,0.3044526612812366,0.8544988088390433,0.0,5.22918725588126,1.449721401276498,2.070681021045167,0.057131,3.7654514,186300.0,0.0623247
